Status	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319479.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319480.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319481.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319482.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319483.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_1/SRR5319484.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319473.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319474.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319475.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319476.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319477.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_2/SRR5319478.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319467.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319468.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319469.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319470.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319471.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align_3/SRR5319472.Aligned.sortedByCoord.out.bam
Assigned	65859774	70973302	64404765	83043043	73974832	67175579	42989816	48002316	40643961	50162647	61970101	68515587	54588082	48395325	58026892	53053909	49421330	53524493	46559136	45510326	52077675	60889445	50572035	52190416
Unassigned_Unmapped	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MappingQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_FragmentLength	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Duplicate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_MultiMapping	29689658	21256982	23067272	26942416	32634176	24129802	9419454	9678548	7321350	9357386	13897384	16445598	10492050	9088700	11755936	11919924	10899030	10841616	8395858	8900888	10447106	12931352	9924610	11065928
Unassigned_Secondary	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_Nonjunction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned_NoFeatures	3822364	4029046	3667832	4601350	4264732	3638780	379962	425638	381342	458482	569239	598388	438660	399220	393387	361066	331301	378068	524223	505761	542381	620754	541036	531488
Unassigned_Overlapping_Length	26325	23737	21677	29412	32422	25062	7206	7520	6351	7561	9337	10645	7966	7200	8381	7147	6727	7468	7980	7728	8825	9731	8291	8477
Unassigned_Ambiguity	13807323	14062067	12964652	16782085	15535178	14092341	10211485	11370402	9703500	10883407	13272007	14403057	12702626	11190559	13471619	11565115	10770595	11708709	10191377	10208441	11616094	12694528	10803360	10951570
